品番,仕入先名,仕入先工場名
35300ECB010,アイシン精機（株）,半田工場
9034118A024,（株）青山製作所,
9161140614,（株）青山製作所,
35580ECB011,アイシン精機（株）,半田工場
9010508A014,（株）青山製作所,
G1163ECE010,（株）青山製作所,
41310ECE010,（株）オンド,本社工場
41310ECB010,（株）オンド,本社工場
9036345A004,岡谷鋼機（株）,刈谷支店
82821XAE010,石黒ゴム工業（株）,
01912ECB040,愛産樹脂工業（株）,本社工場
33490ECE010,マレリ（株）,澁澤倉庫
33490ECB010,マレリ（株）,澁澤倉庫
G9201ECB030,佐藤工業（株）,藤塗装
9036658A001,（株）ジェイテクト,香川工場
9036628A005,（株）ジェイテクト,香川工場
9036630A018,（株）ジェイテクト,香川工場
9036659A009,（株）ジェイテクト,香川工場
9036659A010,（株）ジェイテクト,香川工場
35771ECB010,アイシン機工（株）,吉良工場
35771ECE010,アイシン機工（株）,吉良工場
G9201ECE010,佐藤工業（株）,藤塗装
35141ECB010,（株）アイシン福井,本社工場
35141ECE010,（株）アイシン福井,本社工場
39171ECE010,（株）アイシン福井,本社工場
39171ECB010,（株）アイシン福井,本社工場
82824ECE010,住友電装（株）,四日市物流センター
35505ECB010,中庸スプリング（株）,
9036324A003,日本精工（株）,三河分室
G1144ECB010,住友電気工業（株）,
G117362010,多摩川精機販売（株）,
9036324A004,日本精工（株）,三河分室
G1144ECE010,矢崎総業（株）,
82824ECB010,矢崎総業（株）,
9036324A005,日本精工（株）,三河分室
9036366A001,岡谷鋼機（株）,刈谷支店
351060LC040,佐藤工業（株）,藤塗装
354260LC010,（株）旭工業所,本社工場
321110LC010,アイシン機工（株）,刈谷工場
356680LC020,（株）旭工業所,本社工場
019120LC070,石黒ゴム工業（株）,
351190LC010,佐藤工業（株）,藤塗装
350610LC010,（株）アイシン福井,本社工場
350710LC010,（株）アイシン福井,本社工場
357710LC031,（株）アイシン福井,本社工場
G114434010,住友電気工業（株）,
G114434020,住友電気工業（株）,
G115A34010,住友電気工業（株）,
351710LC010,新日工業（株）,本社工場
821250LC030,住友電装（株）,
G118034010,（株）三井ハイテック,岡谷物流
351680LC030,ＮＯＫ（株）,
G11340LC010,太平洋工業（株）,養老工場
G11370LC010,太平洋工業（株）,養老工場
351720LC010,ＮＯＫ（株）,
391710LC010,リョービ（株）,西尾東
9015906A022,（株）青山製作所,
019128GA010,石黒ゴム工業（株）,
35174ECE010,（株）浅賀井製作所,安城工場
35174ECE020,（株）浅賀井製作所,安城工場
9010512A018,（株）青山製作所,
35174ECB010,（株）浅賀井製作所,安城工場
82821ECE010,石黒ゴム工業（株）,
3040052001B,（株）青山製作所,
1040043104R,（株）ギフ加藤製作所,本社工場（ＡＷ発行拠点）
35557ECB010,小川工業（株）,
9036630A017,（株）ジェイテクト,香川工場
9036652A003,（株）ジェイテクト,香川工場
9036658A002,（株）ジェイテクト,香川工場
5040056001E,サトープレス工業（株）,本社工場
35145ECE010,三共鋼業（株）,東浦南工場
9030119A011,ＮＯＫ（株）,
9056450A002,（株）ムロコーポレーション,
35847ECE010,（株）メタルテック,
35847ECE020,（株）メタルテック,
35847ECB020,（株）メタルテック,
35882ECB010,（株）メタルテック,
9010512A017,（株）青山製作所,
35441ECB010,（株）ニフコ,名古屋事業所
351980LC030,盟和精工（株）,
9011006031,（株）青山製作所,
828210LC020,石黒ゴム工業（株）,
9011908A038,（株）青山製作所,
G117334010,多摩川精機販売（株）,
358830LC030,（株）ダイナックス,豊田営業所
352800LA010,（株）デンソー,大安工場
356790LC050,アイシン化工（株）,本社工場
391718LA010,広島アルミニウム工業（株）,
9036443A006,日本精工（株）,三河分室
356170LC060,（株）リケン,
354110LC030,岡崎工場T4整備室,
82821ECB050,石黒ゴム工業（株）,
9010508A042,（株）青山製作所,
35501ECB010,大橋鉄工（株）,
9036652A004,（株）ジェイテクト,香川工場
35595ECB010,サトープレス工業（株）,本社工場
82125ECE010,矢崎総業（株）,
G1174ECE010,住友電装（株）,
G1174ECB010,住友電装（株）,
9031150A014,ＮＯＫ（株）,
82824ECB020,矢崎総業（株）,
354710LC010,（株）旭工業所,本社工場
G11170LC010,アイコー（株）,
G117334020,多摩川精機販売（株）,
357890LC180,日本精工（株）,三河分室
333560LC020,日本発条（株）,伊那工場
356790LC040,アイシン化工（株）,本社工場
9015906A021,（株）青山製作所,
G1163ECB010,（株）青山製作所,
9030106A018,ＮＯＫ（株）,
9034118090,（株）杉浦製作所,
9031150A015,ＮＯＫ（株）,
9036340A010,日本精工（株）,三河分室
352400LC020,岡谷鋼機（株）,刈谷支店
35312ECB010,（株）旭工業所,本社工場
35145ECE020,（株）浅賀井製作所,安城工場
9036628A007,（株）ジェイテクト,香川工場
35145ECB010,三共鋼業（株）,東浦南工場
35198ECE010,サトープレス工業（株）,本社工場
9034108A006,（株）杉浦製作所,
3559850A010,アイコー（株）,
9056439A005,（株）ムロコーポレーション,
9020156A002,（株）ムロコーポレーション,
9030111A014,ＮＯＫ（株）,
35441TFA010,（株）ニフコ,名古屋事業所
01912TFA050,石黒ゴム工業（株）,
321118LA010,アイシン機工（株）,刈谷工場
354320LC040,佐藤工業（株）,
9056042A001,中庸スプリング（株）,
358830LC040,（株）ダイナックス,豊田営業所
9050119A022,（株）東郷製作所,
82821CWA030,石黒ゴム工業（株）,
01912ECB010,石黒ゴム工業（株）,
82821ECB020,石黒ゴム工業（株）,
35556ECB010,（株）ギフ加藤製作所,本社工場（ＡＷ発行拠点）
2030052002N,（株）杉浦製作所,
G1250ECE010,（株）バルカー,豊田営業所
9056457A131,（株）ムロコーポレーション,
35847ECB010,（株）メタルテック,
9050411A003,（株）東郷製作所,
G117234010,多摩川精機販売（株）,
9011906908,（株）青山製作所,
9011906A065,（株）青山製作所,
82821ECB040,石黒ゴム工業（株）,
9036628A006,（株）ジェイテクト,香川工場
9056451A084,（株）ムロコーポレーション,
9020150A002,（株）ムロコーポレーション,
9011906A059,（株）青山製作所,
351988LA010,サトープレス工業（株）,本社工場
351980LC020,サトープレス工業（株）,本社工場
9037460A001,日本精工（株）,三河分室
35195TFG010,三共鋼業（株）,東浦南工場
9094906A012,中庸スプリング（株）,
82125ECB010,矢崎総業（株）,
019120LC060,石黒ゴム工業（株）,
9030199A224,ＮＯＫ（株）,
356340LC020,（株）ダイナックス,豊田営業所
9052199A309,中庸スプリング（株）,
9025010017,（株）水野鉄工所,
9014906A004,（株）青山製作所,
352450LC010,（株）ギフ加藤製作所,本社工場（ＡＷ発行拠点）
019120LC030,日進工業（株）,丸共通運
G1250ECB010,（株）バルカー,豊田営業所
1040183011P,（株）青山製作所,
82821ECB010,石黒ゴム工業（株）,
35409ECB010,サンコール（株）,豊田
357890LC160,（株）ジェイテクト,ＵＫＫ工場
821258LA050,住友電装（株）,
9030111A013,ＮＯＫ（株）,
36108ECB010,（株）オーハシテクニカ,
9025006A007,（株）ギフ加藤製作所,本社工場（ＡＷ発行拠点）
2030044001J,ＮＯＫ（株）,
G1250ECC010,（株）バルカー,豊田営業所
9030132A005,ＮＯＫ（株）,
9036435A004,日本精工（株）,三河分室
35275TBG010,（株）ギフ加藤製作所,本社工場（ＡＷ発行拠点）
9155180614,（株）青山製作所,
9014908A008,（株）青山製作所,
9015905A007,（株）青山製作所,
9167180618,（株）青山製作所,
9036628A008,（株）ジェイテクト,香川工場
9020156A001,（株）ムロコーポレーション,
356030LC020,（株）東郷製作所,
35195ECE010,三共鋼業（株）,東浦南工場
9050827A011,（株）東郷製作所,
G9351ECB010,（株）ＢｌｕＥ　Ｎｅｘｕｓ,デンソー　安城製作所
351980LC040,盟和精工（株）,
357890LC170,日本精工（株）,三河分室
9031164A006,ＮＯＫ（株）,
9015906A023,（株）青山製作所,
9093003179,（株）青山製作所,
35352ECB010,五興商事（株）,
9033904A002,サトープレス工業（株）,本社工場
34989ECB020,（株）槌屋,知立工場
34989ECB030,（株）槌屋,知立工場
9037439A017,（株）ジェイテクト,ＵＫＫ工場
9030199A223,ＮＯＫ（株）,
9034114A004,（株）青山製作所,
9056463A034,（株）ムロコーポレーション,
9056439A004,（株）ムロコーポレーション,
82125ECE030,（株）ＢｌｕＥ　Ｎｅｘｕｓ,デンソー　安城製作所
9010506A089,（株）青山製作所,
3548255A010,サトープレス工業（株）,本社工場
35165ECE010,（株）松尾製作所,
82125ECE020,（株）ＢｌｕＥ　Ｎｅｘｕｓ,デンソー　安城製作所
G9210ECC010,（株）ＢｌｕＥ　Ｎｅｘｕｓ,デンソー　安城製作所
G9210ECB010,（株）ＢｌｕＥ　Ｎｅｘｕｓ,デンソー　安城製作所
G9210ECE020,（株）ＢｌｕＥ　Ｎｅｘｕｓ,デンソー　安城製作所
356340LC030,（株）ダイナックス,豊田営業所
35782ECB010,,
9155180640,（株）青山製作所,
1040052001Z,（株）青山製作所,
G9351ECE010,（株）ＢｌｕＥ　Ｎｅｘｕｓ,デンソー　安城製作所
9056463A035,（株）ムロコーポレーション,
0355141009R,ＮＯＫ（株）,
9036414A016,ＮＴＮ（株）,磐田
2030183013A,（株）青山製作所,
2030045013L,伊藤金属工業（株）,
9056457A134,（株）ムロコーポレーション,
9030115A011,ＮＯＫ（株）,
9011906A062,（株）青山製作所,
1040183017V,（株）青山製作所,
9034118060,住友商事（株）鉄鋼部輸送機材,鉄鋼部輸送機材
351988LA030,三共鋼業（株）,東浦南工場
354210LC040,（株）ギフ加藤製作所,本社工場（ＡＷ発行拠点）
9056455A040,（株）ムロコーポレーション,
9030119A010,ＮＯＫ（株）,
9052042A002,サンコール（株）,豊田
35080ECE020,,
9056457A133,（株）ムロコーポレーション,
9056455A041,（株）ムロコーポレーション,
9010506A003,（株）青山製作所,
9155180610,（株）青山製作所,
3519510A010,中庸スプリング（株）,
9056451A085,（株）ムロコーポレーション,
9056450A003,（株）ムロコーポレーション,
9056455A045,（株）ムロコーポレーション,
9056457A136,（株）ムロコーポレーション,
9030146A009,ＮＯＫ（株）,
9031132A003,ＮＯＫ（株）,
354820LC010,サトープレス工業（株）,本社工場
01912ECB060,新光ゴム工業（株）,本社
9034108A010,（株）杉浦製作所,
9030117A010,ＮＯＫ（株）,
351988LA040,三共鋼業（株）,東浦南工場
351988LA020,三共鋼業（株）,東浦南工場
5040043004E,日本精工（株）,三河分室
9037414A001,日本精工（株）,三河分室
82821XAE020,石黒ゴム工業（株）,
G9210ECE010,（株）ＢｌｕＥ　Ｎｅｘｕｓ,デンソー　安城製作所
019120LC050,日進工業（株）,丸共通運
9056463A036,（株）ムロコーポレーション,
9056457A132,（株）ムロコーポレーション,
9056455A042,（株）ムロコーポレーション,
9056451A081,（株）ムロコーポレーション,
9011906A063,（株）青山製作所,
1040052103H,ミヅホ工業（株）,
2030113004A,アイコー（株）,
9056455A044,（株）ムロコーポレーション,
9056455A043,（株）ムロコーポレーション,
9025006027,（株）水野鉄工所,
9030115027,ＮＯＫ（株）,
9052409A003,（株）東郷製作所,
34989ECE010,（株）槌屋,知立工場
9056439A006,（株）ムロコーポレーション,
9056457A135,（株）ムロコーポレーション,
9056451A088,（株）ムロコーポレーション,
9056451A083,（株）ムロコーポレーション,
9052032A001,サンコール（株）,豊田
9056451A087,（株）ムロコーポレーション,
34989ECE020,（株）槌屋,知立工場
35419TRA010,（株）ギフ加藤製作所,本社工場（ＡＷ発行拠点）
9056451A082,（株）ムロコーポレーション,
3040040039Y,サンコール（株）,豊田
01912ECB040,愛産樹脂工業（株）,第２工場
9056455A039,（株）ムロコーポレーション,
9056455A046,（株）ムロコーポレーション,
9033904A003,サトープレス工業（株）,本社工場
9056463A033,（株）ムロコーポレーション,
9056450A001,（株）ムロコーポレーション,
3539450A010,ミズショー（株）,三河支店
1040183004C,（株）青山製作所,
0355045013U,日本発条（株）,伊那工場
9050407A007,（株）東郷製作所,
9056463A032,（株）ムロコーポレーション,
9014860027,（株）青山製作所,
9056451A086,（株）ムロコーポレーション,
9050106A019,（株）東郷製作所,
35080ECE010,,
35782ECE030,,
9033106A003,サトープレス工業（株）,本社工場
0355052005L,（株）杉浦製作所,
34989ECB010,（株）槌屋,知立工場
357710LC030,（株）アイシン福井,本社工場
35246TFG010,（株）東郷製作所,
0355113017A,サトープレス工業（株）,本社工場
35782ECE020,,
35482TFA010,サトープレス工業（株）,本社工場
9036006004,日本精工（株）,三河分室
Y021782011,,
9056463A030,（株）ムロコーポレーション,
9056463A031,（株）ムロコーポレーション,
34989ECC010,（株）槌屋,知立工場
35080ECB010,,
9033114006,ナミコー（株）,
82125ECB020,（株）ＢｌｕＥ　Ｎｅｘｕｓ,デンソー　安城製作所
354110LC030,,
356790LC030,アイシン化工（株）,本社工場
356790LC100,,
356790LC090,,
9056457A130,（株）ムロコーポレーション,
41221ECE010,,
9056463A038,（株）ムロコーポレーション,
9056463A037,（株）ムロコーポレーション,
9025006027,,
3040141002R,ＮＯＫ（株）,
9011606048,（株）杉浦製作所,
34989ECE040,（株）槌屋,知立工場
9056457A128,（株）ムロコーポレーション,
34989ECE030,（株）槌屋,知立工場
0355183043P,（株）青山製作所,
82125ECC020,（株）ＢｌｕＥ　Ｎｅｘｕｓ,デンソー　安城製作所
G9210ECE030,（株）ＢｌｕＥ　Ｎｅｘｕｓ,デンソー　安城製作所
G9210ECB020,（株）ＢｌｕＥ　Ｎｅｘｕｓ,デンソー　安城製作所
41221ECB010,,
356790LC060,アイシン化工（株）,本社工場
9056455A048,（株）ムロコーポレーション,
G115A60010,住友電気工業（株）,
9056451A080,,
9056451A080,（株）ムロコーポレーション,
821250LC040,住友電装（株）,
9010512A018,,
9020163A001,,
9056457A137,（株）ムロコーポレーション,
0191290A050,,
9056455A047,（株）ムロコーポレーション,
9915000049,,
9915000042,,
9056457A129,（株）ムロコーポレーション,
9056455A038,,
9056455A038,（株）ムロコーポレーション,
9046108A016,,
351980LC050,盟和精工（株）,
9915000022,,
9923700010,,
9025010017,,
9056463A029,（株）ムロコーポレーション,
9056463A028,（株）ムロコーポレーション,
9056439A002,,
9056457A139,（株）ムロコーポレーション,
9056439A003,,
9052199A236,,
9056451A089,（株）ムロコーポレーション,
9056451A090,（株）ムロコーポレーション,
9056451A091,,
356790LC070,アイシン化工（株）,本社工場
9036006004,,
9923700029,,
9056463A026,,
0355237001E,,
9056463A051,（株）ムロコーポレーション,
9056463A056,（株）ムロコーポレーション,
G1144ECE010,,
41361HFC020,,
9056455A049,（株）ムロコーポレーション,
35421TGB020,,
9056450A005,,
9056450A006,,
9056450A006,（株）ムロコーポレーション,
9056450A007,,
9056450A008,,
9056450A009,,
9056451A066,,
9056451A067,,
9056451A068,,
9056451A069,,
9056451A070,,
9056451A071,,
9056451A072,,
9056451A073,,
9056451A074,,
9056451A075,,
9056451A076,,
9056451A077,,
9056451A078,,
9056451A092,,
9056451A093,,
9056451A094,,
9056451A095,,
9056451A096,,
9056451A097,,
9056451A098,,
9056451A099,,
9056451A100,,
9056451A101,,
9056451A102,,
9056451A103,,
9056451A104,,
9056451A105,,
9056451A107,,
9056451A106,,
9056451A108,,
9056451A109,,
9056451A110,,
9056451A112,,
9056455A018,,
9056451A111,,
9056455A019,,
9056455A020,,
9056455A021,,
9056455A022,,
9056455A023,,
9056451A079,,
9056451A079,（株）ムロコーポレーション,
9056455A024,,
9056455A025,,
9056455A026,,
9056455A027,,
9056455A028,,
9056455A029,,
9056455A030,,
9056455A031,,
9056455A032,,
9056455A033,,
9056455A034,,
9056455A035,,
9056455A050,（株）ムロコーポレーション,
9056455A050,,
9056455A051,,
9056455A052,,
9056455A053,,
9056455A054,,
9056455A055,,
9056455A056,,
9056455A057,,
9056455A058,,
9056455A059,,
9056455A060,,
9056455A061,,
9056455A062,,
9056455A063,,
9056455A064,,
9056455A065,,
9056451A091,（株）ムロコーポレーション,
9910800009,,
9910800011,,
9056451A090,,
G9351ECB010,,
35256TGB010,,
9905300001,,
356790LC020,,
9056455A052,（株）ムロコーポレーション,
9056455A066,,
9056450A004,（株）ムロコーポレーション,
9056455A049,,
9050119A022,,
9056439A007,,
9056451A093,（株）ムロコーポレーション,
9056451A094,（株）ムロコーポレーション,
9056439A007,（株）ムロコーポレーション,
9036340085,,
9056457A138,（株）ムロコーポレーション,
9915000040,,
357890LC160,,
9056451A092,（株）ムロコーポレーション,
9056455A053,（株）ムロコーポレーション,
9056455A051,（株）ムロコーポレーション,
019120LC040,石黒ゴム工業（株）,
019128GA010,,
35312ECB010,（株）旭工業所,第１整備室
354710LC010,（株）旭工業所,第１整備室
9985200020,,
9036340A015,,
9036340A015,日本精工（株）,三河分室
G117247030,,
35174ECA010,,
9056450A004,,
356790LC130,,
9030118A008,,
41310ECA020,武蔵精密工業（株）,本社工場
9056463A028,,
9904900005,,
9915000052,,
41310ECA030,,
9905300100,,
0350056004F,,
356790LC020,アイシン化工（株）,本社工場
G21E176022,トヨタ自動車,槌屋
9056450A005,（株）ムロコーポレーション,
Y021720076,,
G11040LC010,,
391718LA010,,
9052032A001,,
9030135A001,ＮＯＫ（株）,
82125ECE040,（株）ＢｌｕＥ　Ｎｅｘｕｓ,デンソー　安城製作所
01912ECB040,,
,,
