品番,受入場所,品名,収容数,サイクル間隔,サイクル回数,サイクル情報,不良率
82125ECC020    ,1Y,ﾜｲﾔ-T/M                       ,8,1,1,1,00
82125ECC020    ,1Y,ﾜｲﾔ- T/M                      ,8,1,6,2,00
82125ECE010    ,1Y,ﾜｲﾔ-T/M                       ,100,1,1,1,00
82125ECE020    ,1Y,ﾜｲﾔ-T/M                       ,6,1,1,1,00
82125ECE020    ,1Y,ﾜｲﾔ- T/M                      ,6,1,6,2,00
82125ECE030    ,1Y,ﾜｲﾔ-T/M                       ,6,1,1,1,00
82125ECE030    ,1Y,ﾜｲﾔ- T/M                      ,6,1,6,2,00
82125ECE040    ,1Y,ﾜｲﾔ- T/M                      ,6,1,6,2,00
82821CWA030    ,1Y,ｶﾊﾞ-ｺﾈｸﾀ-                     ,200,1,2,3,00
82821ECB010    ,1Y,ｶﾊﾞ-ｺﾈｸﾀ-                     ,400,1,2,3,00
82821ECB020    ,1Y,ｶﾊﾞ-ｺﾈｸﾀ-                     ,200,1,2,3,00
82821ECB040    ,1Y,ｶﾊﾞ-ｺﾈｸﾀ-                     ,100,1,2,3,00
82821ECB050    ,1Y,ｶﾊﾞ-ｺﾈｸﾀ-                     ,100,1,2,3,00
82821ECB080    ,1Y,ｶﾊﾞ- ｺﾈｸﾀ-                    ,100,1,2,3,00
82821ECE010    ,1Y,ｶﾊﾞ-ｺﾈｸﾀ-                     ,50,1,2,3,00
82821ECE020    ,1Y,ｶﾊﾞ- ｺﾈｸﾀ-                    ,50,1,2,3,00
82821XAE010    ,1Y,ｶﾊﾞ-ｺﾈｸﾀ-                     ,100,1,2,3,00
82821XAE020    ,1Y,ｶﾊﾞ-ｺﾈｸﾀ-                     ,400,1,2,3,00
82824ECA010    ,1Y,ﾜｲﾔﾘﾝｸﾞﾊｰﾈｽｺﾈｸﾀ               ,40,1,1,1,00
82824ECB010    ,1Y,ﾜｲﾔﾘﾝｸﾞﾊｰﾈｽｺﾈｸﾀ               ,32,1,1,1,00
82824ECB020    ,1Y,ﾜｲﾔﾘﾝｸﾞﾊｰﾈｽｺﾈｸﾀ               ,40,1,1,1,00
82824ECE010    ,1Y,ﾜｲﾔﾘﾝｸﾞﾊｰﾈｽｺﾈｸﾀ               ,45,1,1,1,00
82824ECE010    ,1Y,ﾜｲﾔﾘﾝｸﾞﾊｰﾈｽｺﾈｸﾀ               ,45,1,1,3,00
9010506A003    ,1Y,ﾎﾞﾙﾄﾌﾗﾝｼﾞ                     ,2000,1,6,5,00
9010506A089    ,1Y,ﾎﾞﾙﾄﾌﾗﾝｼﾞ                     ,1500,1,6,5,00
9010508A014    ,1Y,ﾎﾞﾙﾄﾌﾗﾝｼﾞ                     ,500,1,6,5,00
9010508A042    ,1Y,ﾎﾞﾙﾄﾌﾗﾝｼﾞ                     ,300,1,6,5,00
9010512A018    ,1Y,ﾎﾞﾙﾄﾌﾗﾝｼﾞ                     ,200,1,6,5,00
9010512A019    ,1Y,ﾎﾞﾙﾄ ﾌﾗﾝｼﾞ                    ,210,1,6,4,00
9011606048     ,1Y,ﾎﾞﾙﾄｽﾀﾂﾄﾞ                     ,3000,1,2,1,00
9011906908     ,1Y,ﾎﾞﾙﾄｳｲｽﾞﾜﾂｼﾔ                  ,2000,1,6,5,00
9011906A065    ,1Y,"ﾎﾞﾙﾄ,ﾌﾗﾝｼﾞW/ﾜｯｼｬ              ",1000,1,6,5,00
9014860027     ,1Y,ｽｸﾘﾕ-                         ,2000,1,6,5,00
9014908A008    ,1Y,ｽｸﾘﾕ-                         ,800,1,6,5,00
9015905A007    ,1Y,ｽｸﾘｭｰW/ﾜｯｼｬｰ                  ,2000,1,6,5,00
9015906A017    ,1Y,ﾎﾞﾙﾄ                          ,1000,1,6,5,00
9015906A021    ,1Y,ｽｸﾘｭｰW/ﾜｯｼｬｰ                  ,1200,1,6,5,00
9015906A022    ,1Y,ｽｸﾘｭｰW/ﾜｯｼｬｰ                  ,1500,1,6,5,00
9015906A023    ,1Y,ｽｸﾘｭｰW/ﾜｯｼｬｰ                  ,1300,1,6,5,00
9020150A002    ,1Y,ﾌﾟﾚｰﾄﾜｯｼｬ                     ,100,1,1,0,00
9020150A003    ,1Y,ﾌﾟﾚ-ﾄﾜｯｼｬ                     ,100,1,1,1,00
9020156A001    ,1Y,ﾌﾟﾚｰﾄﾜｯｼｬ                     ,100,1,1,0,00
9020156A002    ,1Y,ﾌﾟﾚｰﾄﾜｯｼｬ                     ,100,1,1,0,00
9025006027     ,1Y,ﾋﾟﾝｽﾄﾚ-ﾄ                      ,2000,1,1,1,00
9025006A007    ,1Y,ﾋﾟﾝｽﾄﾚ-ﾄ                      ,200,1,2,3,00
9025010017     ,1Y,ﾋﾟﾝ ｽﾄﾚ-ﾄ                     ,700,1,1,1,00
9025405021     ,1Y,ﾋﾟﾝ                           ,2000,1,1,1,00
9030106A018    ,1Y,ﾘﾝｸﾞO                         ,2000,1,2,3,00
9030111A014    ,1Y,ﾘﾝｸﾞO                         ,1000,1,2,3,00
9030115A011    ,1Y,ﾘﾝｸﾞO                         ,1000,1,2,3,00
9030117A005    ,1Y,ﾘﾝｸﾞ O                        ,1000,1,2,3,00
9030117A010    ,1Y,ﾘﾝｸﾞO                         ,1000,1,2,3,00
9030119A010    ,1Y,ﾘﾝｸﾞO                         ,1000,1,2,3,00
9030119A011    ,1Y,ﾘﾝｸﾞO                         ,200,1,2,3,00
9030131A001    ,1Y,ﾘﾝｸﾞ O                        ,900,1,2,3,00
9030135A001    ,1Y,Oﾘﾝｸﾞ                         ,1000,1,2,3,00
9031140A056    ,1Y,ｼ-ﾙ ｵｲﾙ                       ,120,1,2,3,00
9031150A014    ,1Y,ｼｰﾙﾀｲﾌﾟTｵｲﾙ                   ,84,1,2,3,00
9031150A015    ,1Y,ｼｰﾙﾀｲﾌﾟTｵｲﾙ                   ,84,1,2,3,00
9033106A003    ,1Y,ﾌﾟﾗｸﾞﾀｲﾄ                      ,5000,1,1,1,00
9033106A006    ,1Y,ﾌﾟﾗｸﾞ ﾀｲﾄ                     ,1000,1,1,1,00
9033114006     ,1Y,ﾌﾟﾗｸﾞﾀｲﾄ                      ,2000,1,1,3,00
9033128A001    ,1Y,ﾌﾟﾗｸﾞ ﾀｲﾄ                     ,500,1,1,1,00
9033904A002    ,1Y,ｷﾔﾂﾌﾟ                         ,1000,1,1,1,00
9033904A003    ,1Y,ｷﾔﾂﾌﾟ                         ,2000,1,1,1,00
9034108A006    ,1Y,ﾌﾟﾗｸﾞｳｲｽﾞﾍﾂﾄﾞｽﾄﾚ-ﾄｽｸﾘﾕ-       ,1000,1,2,1,00
9034108A007    ,1Y,ﾌﾟﾗｸﾞ ｳｲｽﾞﾍﾂﾄﾞｽﾄﾚ-ﾄｽｸﾘﾕ-      ,1000,1,2,1,00
9034108A010    ,1Y,ﾌﾟﾗｸﾞｳｲｽﾞﾍﾂﾄﾞｽﾄﾚ-ﾄｽｸﾘﾕ-       ,1000,1,2,1,00
9034114A004    ,1Y,ﾌﾟﾗｸﾞｳｲｽﾞﾍﾂﾄﾞｽﾄﾚ-ﾄｽｸﾘﾕ-       ,500,1,6,5,00
9034118060     ,1Y,ﾌﾟﾗｸﾞS/AW/ﾍｯﾄﾞｽﾄﾚｰﾄｽｸﾘｭｰ      ,300,1,1,3,00
9034118090     ,1Y,ﾌﾟﾗｸﾞｳｲｽﾞﾍﾂﾄﾞｽﾄﾚ-ﾄｽｸﾘﾕ-       ,300,1,2,1,00
9034118A024    ,1Y,ﾌﾟﾗｸﾞS/AW/ﾍｯﾄﾞｽﾄﾚｰﾄｽｸﾘｭｰ      ,200,1,6,5,00
9034120A009    ,1Y,ﾌﾟﾗｸﾞ ｳｲｽﾞﾍﾂﾄﾞｽﾄﾚ-ﾄｽｸﾘﾕ-      ,100,1,1,1,00
9036324A003    ,1Y,ﾍﾞｱﾘﾝｸﾞﾗｼﾞｱﾙﾎﾞｰﾙ              ,22,1,8,9,00
9036324A004    ,1Y,ﾍﾞｱﾘﾝｸﾞﾗｼﾞｱﾙﾎﾞｰﾙ              ,30,1,8,9,00
9036324A005    ,1Y,ﾍﾞｱﾘﾝｸﾞﾗｼﾞｱﾙﾎﾞｰﾙ              ,22,1,8,9,00
9036335A018    ,1Y,ﾍﾞｱﾘﾝｸﾞ ﾗｼﾞｱﾙﾎﾞｰﾙ             ,90,1,8,9,00
9036340085     ,1Y,ﾍﾞｱﾘﾝｸﾞﾗｼﾞｱﾙﾎﾞｰﾙ              ,80,1,8,9,00
9036340A010    ,1Y,ﾍﾞｱﾘﾝｸﾞ ﾗｼﾞｱﾙﾎﾞｰﾙ             ,80,1,8,9,00
9036340A015    ,1Y,ﾍﾞｱﾘﾝｸﾞ ﾗｼﾞｱﾙﾎﾞｰﾙ             ,80,1,8,9,00
9036345A004    ,1Y,ﾍﾞｱﾘﾝｸﾞﾗｼﾞｱﾙﾎﾞｰﾙ              ,90,1,1,2,00
9036628A005    ,1Y,ﾚｰｽﾃｰﾊﾟｰﾄﾞﾛｰﾗｰﾍﾞｱﾘﾝｸﾞｲﾝﾅｰ     ,60,1,1,1,00
9036628A006    ,1Y,ﾚｰｽﾃｰﾊﾟｰﾄﾞﾛｰﾗｰﾍﾞｱﾘﾝｸﾞｱｳﾀｰ     ,80,1,1,1,00
9036628A007    ,1Y,ﾚｰｽﾃｰﾊﾟｰﾄﾞﾛｰﾗｰﾍﾞｱﾘﾝｸﾞｲﾝﾅｰ     ,72,1,1,1,00
9036628A008    ,1Y,ﾚｰｽﾃｰﾊﾟｰﾄﾞﾛｰﾗｰﾍﾞｱﾘﾝｸﾞｱｳﾀｰ     ,100,1,1,1,00
9036630A016    ,1Y,ﾚｰｽﾃｰﾊﾟｰﾄﾞﾛｰﾗｰﾍﾞｱﾘﾝｸﾞｲﾝﾅｰ     ,38,1,1,1,00
9036630A017    ,1Y,ﾚｰｽﾃｰﾊﾟｰﾄﾞﾛｰﾗｰﾍﾞｱﾘﾝｸﾞｱｳﾀｰ     ,72,1,1,1,00
9036630A018    ,1Y,ﾚｰｽ ﾃｰﾊﾟｰﾄﾞﾛｰﾗｰ ﾍﾞｱﾘﾝｸﾞ ｲﾝﾅｰ  ,38,1,1,1,00
9036651A030    ,1Y,ﾚｰｽ ﾃｰﾊﾟｰﾄﾞﾛｰﾗｰ ﾍﾞｱﾘﾝｸﾞ ｲﾝﾅｰ  ,48,1,1,1,00
9036651A031    ,1Y,ﾚｰｽ ﾃｰﾊﾟｰﾄﾞﾛｰﾗｰ ﾍﾞｱﾘﾝｸﾞ ｱｳﾀｰ  ,54,1,1,1,00
9036652A003    ,1Y,ﾚｰｽﾃｰﾊﾟｰﾄﾞﾛｰﾗｰﾍﾞｱﾘﾝｸﾞｲﾝﾅｰ     ,60,1,1,1,00
9036652A004    ,1Y,ﾚｰｽﾃｰﾊﾟｰﾄﾞﾛｰﾗｰﾍﾞｱﾘﾝｸﾞｱｳﾀｰ     ,63,1,1,1,00
9036658A001    ,1Y,ﾚｰｽﾃｰﾊﾟｰﾄﾞﾛｰﾗｰﾍﾞｱﾘﾝｸﾞｲﾝﾅｰ     ,45,1,1,1,00
9036658A002    ,1Y,ﾚｰｽﾃｰﾊﾟｰﾄﾞﾛｰﾗｰﾍﾞｱﾘﾝｸﾞｱｳﾀｰ     ,36,1,1,1,00
9036659A009    ,1Y,ﾚｰｽﾃｰﾊﾟｰﾄﾞﾛｰﾗｰﾍﾞｱﾘﾝｸﾞｲﾝﾅｰ     ,36,1,1,1,00
9036659A010    ,1Y,ﾚｰｽﾃｰﾊﾟｰﾄﾞﾛｰﾗｰﾍﾞｱﾘﾝｸﾞｱｳﾀｰ     ,36,1,1,1,00
9046214A008    ,1Y,ｸﾗﾝﾌﾟ                         ,50,1,1,1,00
9046214A009    ,1Y,ｸﾗﾝﾌﾟ                         ,200,1,1,1,00
9050827A011    ,1Y,ｽﾌﾟﾘﾝｸﾞﾄ-ｼﾖﾝ                  ,200,1,8,11,00
9050827A013    ,1Y,ｽﾌﾟﾘﾝｸﾞ ﾄ-ｼﾖﾝ                 ,150,1,8,11,00
9050827A014    ,1Y,ｽﾌﾟﾘﾝｸﾞ ﾄ-ｼﾖﾝ                 ,200,1,8,11,00
9052409A003    ,1Y,ｽﾌﾟﾘﾝｸﾞﾘﾃｰﾅｰ                  ,500,1,8,11,00
9056020006     ,1Y,ｽﾍﾟ-ｻ-                        ,400,1,2,3,00
9056439A001    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056439A002    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056439A003    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056439A004    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056439A005    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056439A006    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056439A007    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056439A008    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056439A009    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056446A001    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056446A002    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056446A003    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056446A004    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056446A005    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056446A006    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056446A007    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056446A008    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056446A009    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056446A010    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056446A011    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056446A012    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056446A013    ,1Y,ｼﾑ                            ,100,1,1,1,00
