品番,受入場所,品名,収容数,サイクル間隔,サイクル回数,サイクル情報,不良率
9056446A014    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056446A015    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056446A016    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056446A017    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056446A018    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056446A019    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056446A020    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056446A021    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056446A022    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056446A023    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056446A024    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056446A025    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056447A040    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056447A041    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056447A042    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056447A043    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056447A044    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056447A045    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056447A046    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056447A047    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056447A048    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056447A049    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056447A050    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056447A051    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056447A052    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056447A053    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056447A054    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056447A055    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056447A056    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056447A057    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056447A058    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056447A059    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056447A060    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056447A061    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056447A062    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056447A063    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056447A064    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056450A001    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056450A002    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056450A003    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056450A004    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056450A005    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056450A006    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056450A007    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056450A008    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056450A009    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A066    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A067    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A068    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A069    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A070    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A071    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A072    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A073    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A074    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A075    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A076    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A077    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A078    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A079    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A080    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A081    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A082    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A083    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A084    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A085    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A086    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A087    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A088    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A089    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A090    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A091    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A092    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A093    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A094    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A095    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A096    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A097    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A098    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A099    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A100    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A101    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A102    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A103    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A104    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A105    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A106    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A107    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A108    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A109    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A110    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A111    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056451A112    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A018    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A019    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A020    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A021    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A022    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A023    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A024    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A025    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A026    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A027    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A028    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A029    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A030    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A031    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A032    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A033    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A034    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A035    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A036    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A037    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A038    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A039    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A040    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A041    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A042    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A043    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A044    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A045    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A046    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A047    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A048    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A049    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A050    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A051    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A052    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A053    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A054    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A055    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A056    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A057    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A058    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A059    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A060    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A061    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A062    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A063    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A064    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A065    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056455A066    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056456A061    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A062    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A063    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A064    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A065    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A066    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A067    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A068    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A069    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A070    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A071    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A072    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A073    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A074    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A075    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A076    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A077    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A078    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A079    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A080    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A081    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A082    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A152    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A153    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A154    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A155    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A156    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A157    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A158    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A159    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A160    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A161    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A162    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A163    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A164    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A165    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A166    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A167    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A168    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A169    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A170    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A171    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A172    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A173    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A174    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056456A175    ,1Y,ｼﾑ                            ,100,1,1,1,00
9056457A114    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A115    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A116    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A117    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A118    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A119    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A120    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A121    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A122    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A123    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A124    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A125    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A126    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A127    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A128    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A129    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A130    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A131    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A132    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A133    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A134    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A135    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A136    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A137    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A138    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A139    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A140    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A141    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A142    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A143    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A144    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A145    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A146    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A147    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A148    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A149    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A150    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A151    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A152    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A153    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A154    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A155    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A156    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A157    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A158    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056457A159    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056463A011    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056463A012    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056463A013    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056463A014    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056463A015    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056463A016    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056463A017    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056463A018    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056463A019    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056463A020    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056463A021    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056463A022    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056463A023    ,1Y,ｼﾑ                            ,100,1,1,0,00
9056463A024    ,1Y,ｼﾑ                            ,100,1,1,0,00
