品番,受入場所,品名,収容数,サイクル間隔,サイクル回数,サイクル情報,不良率
3539450A010    ,1Z,ﾏｸﾞﾈﾂﾄ                        ,2000,1,1,1,00
354000LC050    ,1Z,"ﾎﾞﾃﾞ- ASSY, T/M ﾊﾞﾙﾌﾞ         ",24,1,1,1,00
354110LC030    ,1Z,ﾎﾞﾃﾞ-ﾛｱﾊﾞﾙﾌﾞ                  ,8,1,8,8,00
354110LC030    ,1Z,ﾎﾞﾃﾞ- ﾛｱ ﾊﾞﾙﾌﾞ                ,8,1,8,8,00
35419TRA010    ,1Z,ﾊﾞﾙﾌﾞﾊﾞｲﾊﾟｽ                   ,500,1,2,3,00
354210LC040    ,1Z,ﾋﾟｽﾄﾝﾀﾞﾝﾊﾟｰ                   ,200,1,2,3,00
354260LC010    ,1Z,ﾋﾟｽﾄﾝK-0ｸﾗｯﾁ                  ,9,1,1,1,00
354320LC040    ,1Z,ﾌﾟﾚｰﾄﾊﾞﾙﾌﾞﾎﾞﾃﾞｰ               ,100,1,2,4,00
354710LC010    ,1Z,ｶﾊﾞｰﾊﾞﾙﾌﾞﾎﾞﾃﾞｨｰ               ,45,1,1,1,00
354710LC010    ,1Z,ｶﾊﾞｰ ﾊﾞﾙﾌﾞﾎﾞﾃﾞｨｰ              ,45,1,1,1,00
354820LC010    ,1Z,"ｸﾗﾝﾌﾟ,ﾃﾝﾊﾟｰﾁｬｰｾﾝｻｰ            ",500,1,1,1,00
356030LC020    ,1Z,ｽﾌﾟﾘﾝｸﾞS/Aﾘﾀｰﾝ                ,63,1,8,11,00
356170LC060    ,1Z,ﾘﾝｸﾞｼｰﾙ                       ,600,1,1,1,00
356340LC020    ,1Z,ﾌﾟﾚｰﾄK-0ｸﾗｯﾁ                  ,140,1,1,2,00
356340LC030    ,1Z,ﾌﾟﾚｰﾄK-0ｸﾗｯﾁ                  ,140,1,1,2,00
356680LC020    ,1Z,ﾊﾞﾗﾝｻｰｸﾗｯﾁNO.1                ,32,1,1,1,00
356790LC010    ,1Z,ﾌﾗﾝｼﾞ K-0 ｸﾗｯﾁ                ,20,1,6,12,00
356790LC010    ,1Z,ﾌﾗﾝｼﾞK-0ｸﾗｯﾁ                  ,20,1,6,12,00
356790LC020    ,1Z,ﾌﾗﾝｼﾞ K-0 ｸﾗｯﾁ                ,20,1,6,12,00
356790LC020    ,1Z,ﾌﾗﾝｼﾞK-0ｸﾗｯﾁ                  ,20,1,6,12,00
356790LC030    ,1Z,ﾌﾗﾝｼﾞ K-0 ｸﾗｯﾁ                ,20,1,6,12,00
356790LC030    ,1Z,ﾌﾗﾝｼﾞK-0ｸﾗｯﾁ                  ,20,1,6,12,00
356790LC040    ,1Z,ﾌﾗﾝｼﾞ K-0 ｸﾗｯﾁ                ,20,1,6,12,00
356790LC040    ,1Z,ﾌﾗﾝｼﾞK-0ｸﾗｯﾁ                  ,20,1,6,12,00
356790LC050    ,1Z,ﾌﾗﾝｼﾞ K-0 ｸﾗｯﾁ                ,20,1,6,12,00
356790LC050    ,1Z,ﾌﾗﾝｼﾞK-0ｸﾗｯﾁ                  ,20,1,6,12,00
356790LC060    ,1Z,ﾌﾗﾝｼﾞ K-0 ｸﾗｯﾁ                ,20,1,6,12,00
356790LC060    ,1Z,ﾌﾗﾝｼﾞK-0ｸﾗｯﾁ                  ,20,1,6,12,00
356790LC070    ,1Z,ﾌﾗﾝｼﾞ K-0 ｸﾗｯﾁ                ,20,1,6,12,00
356790LC070    ,1Z,ﾌﾗﾝｼﾞK-0ｸﾗｯﾁ                  ,20,1,6,12,00
356790LC080    ,1Z,ﾌﾗﾝｼﾞ K-0 ｸﾗｯﾁ                ,20,1,6,12,00
356790LC080    ,1Z,ﾌﾗﾝｼﾞK-0ｸﾗｯﾁ                  ,20,1,6,12,00
356790LC090    ,1Z,ﾌﾗﾝｼﾞ K-0 ｸﾗｯﾁ                ,20,1,6,12,00
356790LC090    ,1Z,ﾌﾗﾝｼﾞK-0ｸﾗｯﾁ                  ,20,1,6,12,00
356790LC100    ,1Z,ﾌﾗﾝｼﾞ K-0 ｸﾗｯﾁ                ,20,1,6,12,00
356790LC100    ,1Z,ﾌﾗﾝｼﾞK-0ｸﾗｯﾁ                  ,20,1,6,12,00
356790LC110    ,1Z,ﾌﾗﾝｼﾞ K-0 ｸﾗｯﾁ                ,20,1,6,12,00
356790LC110    ,1Z,ﾌﾗﾝｼﾞK-0ｸﾗｯﾁ                  ,20,1,6,12,00
356790LC120    ,1Z,ﾌﾗﾝｼﾞ K-0 ｸﾗｯﾁ                ,20,1,6,12,00
356790LC120    ,1Z,ﾌﾗﾝｼﾞK-0ｸﾗｯﾁ                  ,20,1,6,12,00
356790LC130    ,1Z,ﾌﾗﾝｼﾞ K-0 ｸﾗｯﾁ                ,20,1,6,12,00
356790LC130    ,1Z,ﾌﾗﾝｼﾞK-0ｸﾗｯﾁ                  ,20,1,6,12,00
356790LC140    ,1Z,ﾌﾗﾝｼﾞ K-0 ｸﾗｯﾁ                ,20,1,6,12,00
356790LC140    ,1Z,ﾌﾗﾝｼﾞK-0ｸﾗｯﾁ                  ,20,1,6,12,00
356790LC150    ,1Z,ﾌﾗﾝｼﾞ K-0 ｸﾗｯﾁ                ,20,1,6,12,00
356790LC150    ,1Z,ﾌﾗﾝｼﾞK-0ｸﾗｯﾁ                  ,20,1,6,12,00
356790LC160    ,1Z,ﾌﾗﾝｼﾞ K-0 ｸﾗｯﾁ                ,20,1,6,12,00
356790LC160    ,1Z,ﾌﾗﾝｼﾞK-0ｸﾗｯﾁ                  ,20,1,6,12,00
356790LC170    ,1Z,ﾌﾗﾝｼﾞ K-0 ｸﾗｯﾁ                ,20,1,6,12,00
356790LC170    ,1Z,ﾌﾗﾝｼﾞK-0ｸﾗｯﾁ                  ,20,1,6,12,00
357710LC030    ,1Z,ｼｬﾌﾄHV/Mｱｳﾄﾌﾟｯﾄ               ,4,1,24,18,00
357710LC031    ,1Z,ｼｬﾌﾄ ｱｳﾄﾌﾟｯﾄ                  ,4,1,24,18,00
357890LC160    ,1Z,ﾚ-ｽｽﾗｽﾄﾍﾞｱﾘﾝｸﾞ                ,400,1,1,1,00
357890LC170    ,1Z,ﾚ-ｽｽﾗｽﾄﾍﾞｱﾘﾝｸﾞ                ,300,1,8,8,00
357890LC170    ,1Z,ﾚ-ｽ ｽﾗｽﾄ ﾍﾞｱﾘﾝｸﾞ              ,300,1,8,8,00
357890LC180    ,1Z,ﾚ-ｽ ｽﾗｽﾄ ﾍﾞｱﾘﾝｸﾞ              ,200,1,1,1,00
357890LC180    ,1Z,ﾚ-ｽｽﾗｽﾄﾍﾞｱﾘﾝｸﾞ                ,200,1,8,8,00
358830LC030    ,1Z,ﾃﾞｽｸK-0ｸﾗｯﾁ                   ,200,1,1,2,00
358830LC040    ,1Z,ﾃﾞｽｸK-0ｸﾗｯﾁ                   ,240,1,1,2,00
391710LC010    ,1Z,ｶﾊﾞｰﾓｰﾀﾊｳｼﾞﾝｸﾞ                ,5,1,6,4,00
391718LA010    ,1Z,ｶﾊﾞ- FR                       ,4,1,2,2,00
5040043004E    ,1Z,ﾋﾟﾝｽﾄﾚ-ﾄ                      ,1000,1,8,8,00
821250LC030    ,1Z,ﾜｲﾔ-T/M                       ,40,1,2,5,00
821250LC040    ,1Z,ﾌﾟﾚｰﾄ T/M ﾜｲﾔｰ ﾛｯｸ            ,40,1,2,5,00
821258LA050    ,1Z,ﾜｲﾔ- ｱﾂｼ-                     ,40,1,2,5,00
828210LC020    ,1Z,"ｶﾊﾞｰ,ﾓｰﾀｰﾀｰﾐﾅﾙ                ",100,1,2,3,00
9010508A014    ,1Z,ﾎﾞﾙﾄﾌﾗﾝｼﾞ                     ,500,1,6,5,50
9010512A017    ,1Z,ﾎﾞﾙﾄﾌﾗﾝｼﾞ                     ,450,1,6,5,00
9011006031     ,1Z,"ﾎﾞﾙﾄ,ﾍｷｻｺﾞﾝｿｹｯﾄﾍｯﾄﾞｷｬｯﾌﾟ      ",1000,1,6,5,00
9011906A059    ,1Z,ﾎﾞﾙﾄｳｲｽﾞﾜﾂｼﾔ                  ,1500,1,6,5,00
9011906A062    ,1Z,ﾎﾞﾙﾄﾜｯｼｬ                      ,1500,1,6,5,00
9011906A063    ,1Z,ﾎﾞﾙﾄﾜｯｼｬ                      ,2000,1,6,5,00
9011908A038    ,1Z,"ﾎﾞﾙﾄ,ﾌﾗﾝｼﾞW/ﾜｯｼｬ              ",250,1,6,5,00
9014906A004    ,1Z,ｽｸﾘﾕ-                         ,3000,1,6,5,00
9025006027     ,1Z,ﾋﾟﾝｽﾄﾚ-ﾄ                      ,2000,1,1,1,00
9025010017     ,1Z,ﾋﾟﾝｽﾄﾚ-ﾄ                      ,700,1,1,1,00
9030111A013    ,1Z,ﾘﾝｸﾞO                         ,500,1,2,3,00
9030115027     ,1Z,ﾘﾝｸﾞO                         ,1000,1,2,3,00
9030115A007    ,1Z,ﾘﾝｸﾞ O                        ,1000,1,2,3,01
9030132A005    ,1Z,ﾘﾝｸﾞO                         ,500,1,2,3,00
9030146A009    ,1Z,ﾘﾝｸﾞO                         ,500,1,2,3,00
9030199A223    ,1Z,ﾘﾝｸﾞO                         ,200,1,2,3,00
9030199A224    ,1Z,ﾘﾝｸﾞO                         ,200,1,2,3,00
9031132A003    ,1Z,ｼｰﾙﾀｲﾌﾟTｵｲﾙ                   ,700,1,2,3,00
9031164A006    ,1Z,ｼｰﾙﾀｲﾌﾟTｵｲﾙ                   ,240,1,2,3,00
9036006004     ,1Z,ﾎﾞｰﾙﾘﾊﾞｰｽｼﾌﾄ                  ,4000,1,8,8,00
9036366A001    ,1Z,ﾍﾞｱﾘﾝｸﾞﾗｼﾞｱﾙﾎﾞｰﾙ              ,48,1,1,1,00
9036414A016    ,1Z,ﾍﾞｱﾘﾝｸﾞﾆ-ﾄﾞﾙﾛ-ﾗ-              ,1200,1,1,2,00
9036435A004    ,1Z,ﾍﾞｱﾘﾝｸﾞ ﾆ-ﾄﾞﾙﾛ-ﾗ-             ,100,1,8,8,00
9036435A004    ,1Z,ﾍﾞｱﾘﾝｸﾞﾆ-ﾄﾞﾙﾛ-ﾗ-              ,100,1,8,8,00
9036443A006    ,1Z,ﾍﾞｱﾘﾝｸﾞ ﾆ-ﾄﾞﾙﾛ-ﾗ-             ,100,1,8,8,00
9036443A006    ,1Z,ﾍﾞｱﾘﾝｸﾞﾆ-ﾄﾞﾙﾛ-ﾗ-              ,50,1,8,8,00
9037414A001    ,1Z,ﾍﾞｱﾘﾝｸﾞ ｽﾗｽﾄ ﾆｰﾄﾞﾙﾛｰﾗｰ W/ﾚｰｽ  ,900,1,8,1,00
9037414A001    ,1Z,ﾍﾞｱﾘﾝｸﾞｽﾗｽﾄﾆｰﾄﾞﾙﾛｰﾗｰW/ﾚｰｽ     ,900,1,8,8,00
9037439A017    ,1Z,ﾍﾞｱﾘﾝｸﾞｽﾗｽﾄﾆｰﾄﾞﾙﾛｰﾗｰW/ﾚｰｽ     ,300,1,1,1,00
9037460A001    ,1Z,ﾍﾞｱﾘﾝｸﾞ ｽﾗｽﾄ ﾆｰﾄﾞﾙﾛｰﾗｰ W/ﾚｰｽ  ,80,1,8,8,00
9037460A001    ,1Z,ﾍﾞｱﾘﾝｸﾞｽﾗｽﾄﾆｰﾄﾞﾙﾛｰﾗｰW/ﾚｰｽ     ,80,1,8,8,00
9050106A019    ,1Z,ｽﾌﾟﾘﾝｸﾞｺﾝﾌﾟﾚﾂｼﾖﾝ              ,500,1,8,11,00
9050119A022    ,1Z,ｽﾌﾟﾘﾝｸﾞｺﾝﾌﾟﾚﾂｼﾖﾝ              ,500,1,8,11,00
9050407A007    ,1Z,ｽﾌﾟﾘﾝｸﾞｺﾝﾌﾟﾚﾂｼﾖﾝ              ,1000,1,8,11,00
9050411A003    ,1Z,ｽﾌﾟﾘﾝｸﾞｺﾝﾌﾟﾚﾂｼﾖﾝ              ,1000,1,8,11,00
9052032A001    ,1Z,ﾘﾝｸﾞｼﾔﾌﾄｽﾅﾂﾌﾟ                 ,1000,1,1,2,00
9052042A002    ,1Z,ﾘﾝｸﾞｼﾔﾌﾄｽﾅﾂﾌﾟ                 ,500,1,1,2,00
9052199A309    ,1Z,ﾘﾝｸﾞﾎ-ﾙｽﾅﾂﾌﾟ                  ,50,1,2,2,00
9056042A001    ,1Z,ｽﾍﾟ-ｻ-                        ,100,1,2,2,00
9155180610     ,1Z,ﾎﾞﾙﾄﾌﾗﾝｼﾞ                     ,2000,1,6,5,00
G11040LC010    ,1Z,ｽﾃｰﾀ ASSY                     ,20,1,1,1,00
G11048LA010    ,1Z,ｽﾃｰﾀ ASSY                     ,20,1,1,1,00
G11048LA010    ,1Z,ｽﾃｰﾀ ASSY                     ,20,1,1,1,00
G11170LC010    ,1Z,"ﾘﾝｸﾞ,ﾚﾎﾞﾘｭｰｼｮﾝｾﾝｻｰﾛｰﾀｰｴﾝﾄﾞ    ",60,1,2,3,00
G11340LC010    ,1Z,"ﾌﾟﾚｰﾄ,ﾓｰﾀｰﾛｰﾀｰｴﾝﾄﾞ,LH         ",24,1,1,2,00
G11370LC010    ,1Z,"ﾌﾟﾚｰﾄ,ﾓｰﾀｰﾛｰﾀｰｴﾝﾄﾞ,LH         ",24,1,1,2,00
G114434010     ,1Z,"ﾀｰﾐﾅﾙ,ﾓｰﾀｰｹｰﾌﾞﾙ               ",6,1,1,2,00
G114434020     ,1Z,"ﾀｰﾐﾅﾙ,ﾓｰﾀｰ ｹｰﾌﾞﾙ              ",6,1,1,2,00
G11468LA010    ,1Z,"ﾀｰﾐﾅﾙ,ﾓｰﾀｰ ｽﾀｰﾀｰ              ",18,1,1,1,15
G11568LA010    ,1Z,"ｲﾝｼｭﾚｰﾀｰ,ﾓｰﾀｰ ｺｲﾙ             ",20,1,1,1,15
G115A34010     ,1Z,ﾊﾞｽﾊﾞｰｲﾝﾊﾞｰﾀｰ                 ,54,1,1,2,00
G115A60010     ,1Z,ﾊﾞｽﾊﾞｰ ｲﾝﾊﾞｰﾀｰ                ,54,1,1,2,00
G117234010     ,1Z,"ﾛｰﾀｰ,ﾓｰﾀｰﾚﾎﾞﾘｭｰｼｮﾝｾﾝｻｰ        ",100,1,1,3,00
G117334010     ,1Z,"ｾﾝｻｰ,ﾓｰﾀｰﾚﾎﾞﾘｭｰｼｮﾝ            ",20,1,1,3,00
G117334020     ,1Z,"ｾﾝｻｰ,ﾓｰﾀｰ ﾚﾎﾞﾘｭｰｼｮﾝ           ",20,1,1,3,00
G118034010     ,1Z,"ｺｱASSY,ﾓｰﾀｰﾛｰﾀｰ               ",24,1,2,7,00
G21E176021     ,1Z,ﾗﾍﾞﾙ                          ,100,1,1,1,00
G21E176022     ,1Z,ﾗﾍﾞﾙ                          ,100,1,1,1,00
Y021720076     ,1Z,ｷｬｯﾌﾟｼｯﾋﾟﾝｸﾞ                  ,500,1,1,1,00
